,date,ticker,document
29,210331 ,FB,"{'usage': {'text_units': 4, 'text_characters': 33913, 'features': 2}, 'sentiment': {'document': {'score': -0.380495, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.825968, 'joy': 0.002693, 'fear': 0.14323, 'disgust': 0.08671, 'anger': 0.219685}}}}"
30,302020x,FB,"{'usage': {'text_units': 4, 'text_characters': 30850, 'features': 2}, 'sentiment': {'document': {'score': -0.557363, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.815053, 'joy': 0.002677, 'fear': 0.187001, 'disgust': 0.080983, 'anger': 0.197511}}}}"
31,302019x,FB,"{'usage': {'text_units': 3, 'text_characters': 24707, 'features': 2}, 'sentiment': {'document': {'score': -0.516998, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.82123, 'joy': 0.004002, 'fear': 0.224438, 'disgust': 0.075379, 'anger': 0.148224}}}}"
32,312019x,FB,"{'usage': {'text_units': 3, 'text_characters': 22965, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.823369, 'joy': 0.005252, 'fear': 0.216649, 'disgust': 0.076472, 'anger': 0.150057}}}}"
33,302018x,FB,"{'usage': {'text_units': 3, 'text_characters': 22637, 'features': 2}, 'sentiment': {'document': {'score': -0.391208, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.826447, 'joy': 0.00567, 'fear': 0.212077, 'disgust': 0.074531, 'anger': 0.150876}}}}"
34,312018x,FB,"{'usage': {'text_units': 3, 'text_characters': 22738, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.842806, 'joy': 0.006297, 'fear': 0.211191, 'disgust': 0.069327, 'anger': 0.128149}}}}"
35,312020x,FB,"{'usage': {'text_units': 4, 'text_characters': 31010, 'features': 2}, 'sentiment': {'document': {'score': -0.511983, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.821129, 'joy': 0.002684, 'fear': 0.1802, 'disgust': 0.081318, 'anger': 0.195174}}}}"
36,0200930,CVX,"{'usage': {'text_units': 2, 'text_characters': 11294, 'features': 2}, 'sentiment': {'document': {'score': -0.760466, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.774352, 'joy': 0.002486, 'fear': 0.27085, 'disgust': 0.099826, 'anger': 0.143758}}}}"
37,0200630,CVX,"{'usage': {'text_units': 2, 'text_characters': 13090, 'features': 2}, 'sentiment': {'document': {'score': -0.760466, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.729944, 'joy': 0.001769, 'fear': 0.262295, 'disgust': 0.102756, 'anger': 0.221138}}}}"
38,312019 ,CVX,"{'usage': {'text_units': 2, 'text_characters': 11155, 'features': 2}, 'sentiment': {'document': {'score': -0.768578, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.767865, 'joy': 0.003511, 'fear': 0.168449, 'disgust': 0.12625, 'anger': 0.224319}}}}"
39,302018 ,CVX,"{'usage': {'text_units': 2, 'text_characters': 11084, 'features': 2}, 'sentiment': {'document': {'score': -0.898878, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.721255, 'joy': 0.002304, 'fear': 0.164993, 'disgust': 0.139532, 'anger': 0.276108}}}}"
40,312018 ,CVX,"{'usage': {'text_units': 2, 'text_characters': 11143, 'features': 2}, 'sentiment': {'document': {'score': -0.760796, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.722173, 'joy': 0.001678, 'fear': 0.13, 'disgust': 0.136352, 'anger': 0.314241}}}}"
41,312020 ,CVX,"{'usage': {'text_units': 2, 'text_characters': 11194, 'features': 2}, 'sentiment': {'document': {'score': 0.360871, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.759337, 'joy': 0.001448, 'fear': 0.252491, 'disgust': 0.105008, 'anger': 0.184577}}}}"
42,302019 ,CVX,"{'usage': {'text_units': 2, 'text_characters': 10673, 'features': 2}, 'sentiment': {'document': {'score': -0.875717, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.7766, 'joy': 0.002191, 'fear': 0.174307, 'disgust': 0.114203, 'anger': 0.222485}}}}"
43, oil co,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1812, 'features': 2}, 'sentiment': {'document': {'score': -0.895975, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.780531, 'joy': 0.006517, 'fear': 0.106696, 'disgust': 0.180405, 'anger': 0.119175}}}}"
44,2021033,FSLR,"{'usage': {'text_units': 2, 'text_characters': 11171, 'features': 2}, 'sentiment': {'document': {'score': -0.727844, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.711528, 'joy': 0.060056, 'fear': 0.178537, 'disgust': 0.025977, 'anger': 0.070062}}}}"
45,2020093,FSLR,"{'usage': {'text_units': 2, 'text_characters': 16447, 'features': 2}, 'sentiment': {'document': {'score': -0.997566, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.792923, 'joy': 0.017075, 'fear': 0.214259, 'disgust': 0.062577, 'anger': 0.166074}}}}"
46,2020063,FSLR,"{'usage': {'text_units': 2, 'text_characters': 15903, 'features': 2}, 'sentiment': {'document': {'score': -0.994649, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.812766, 'joy': 0.019167, 'fear': 0.168768, 'disgust': 0.056783, 'anger': 0.181025}}}}"
47,2020033,FSLR,"{'usage': {'text_units': 2, 'text_characters': 16114, 'features': 2}, 'sentiment': {'document': {'score': -0.88342, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.803445, 'joy': 0.01458, 'fear': 0.159942, 'disgust': 0.064836, 'anger': 0.194992}}}}"
48,0 q09x3,FSLR,"{'usage': {'text_units': 2, 'text_characters': 14757, 'features': 2}, 'sentiment': {'document': {'score': -0.927168, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.723988, 'joy': 0.041854, 'fear': 0.118931, 'disgust': 0.087073, 'anger': 0.209781}}}}"
49,0 q06x3,FSLR,"{'usage': {'text_units': 2, 'text_characters': 15258, 'features': 2}, 'sentiment': {'document': {'score': -0.994045, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.771813, 'joy': 0.047384, 'fear': 0.111293, 'disgust': 0.072187, 'anger': 0.166865}}}}"
50,0 q03x3,FSLR,"{'usage': {'text_units': 2, 'text_characters': 15887, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.751874, 'joy': 0.045571, 'fear': 0.107784, 'disgust': 0.072832, 'anger': 0.202406}}}}"
51,q3q2020,NEE,"{'usage': {'text_units': 2, 'text_characters': 14212, 'features': 2}, 'sentiment': {'document': {'score': -0.872736, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.729598, 'joy': 0.015906, 'fear': 0.314804, 'disgust': 0.062996, 'anger': 0.076154}}}}"
