,date,ticker,document,Industry
62,11/12/98,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 2783, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.568593, 'joy': 0.066416, 'fear': 0.260834, 'disgust': 0.056288, 'anger': 0.071247}}}}",Energy
63,5/8/98,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1681, 'features': 2}, 'sentiment': {'document': {'score': -0.6695, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.642336, 'joy': 0.03033, 'fear': 0.129567, 'disgust': 0.120091, 'anger': 0.115763}}}}",Energy
64,11/5/97,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1844, 'features': 2}, 'sentiment': {'document': {'score': -0.907506, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.749103, 'joy': 0.009245, 'fear': 0.091953, 'disgust': 0.173304, 'anger': 0.126018}}}}",Energy
65,8/1/97,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1770, 'features': 2}, 'sentiment': {'document': {'score': -0.907506, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.68562, 'joy': 0.007247, 'fear': 0.098597, 'disgust': 0.181443, 'anger': 0.126246}}}}",Energy
66,5/1/97,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1812, 'features': 2}, 'sentiment': {'document': {'score': -0.895975, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.780531, 'joy': 0.006517, 'fear': 0.106696, 'disgust': 0.180405, 'anger': 0.119175}}}}",Energy
67,10/31/96,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 2048, 'features': 2}, 'sentiment': {'document': {'score': -0.799738, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.79187, 'joy': 0.005986, 'fear': 0.120422, 'disgust': 0.116158, 'anger': 0.132728}}}}",Energy
68,7/30/98,RDS.A,"{'usage': {'text_units': 1, 'text_characters': 1510, 'features': 2}, 'sentiment': {'document': {'score': -0.820673, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.42129, 'joy': 0.021252, 'fear': 0.154282, 'disgust': 0.123574, 'anger': 0.10989}}}}",Energy
69,10/28/20,FSLR,"{'usage': {'text_units': 2, 'text_characters': 16447, 'features': 2}, 'sentiment': {'document': {'score': -0.997566, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.792923, 'joy': 0.017075, 'fear': 0.214259, 'disgust': 0.062577, 'anger': 0.166074}}}}",Energy
70,8/7/20,FSLR,"{'usage': {'text_units': 2, 'text_characters': 15903, 'features': 2}, 'sentiment': {'document': {'score': -0.994649, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.812766, 'joy': 0.019167, 'fear': 0.168768, 'disgust': 0.056783, 'anger': 0.181025}}}}",Energy
71,5/8/20,FSLR,"{'usage': {'text_units': 2, 'text_characters': 16114, 'features': 2}, 'sentiment': {'document': {'score': -0.88342, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.803445, 'joy': 0.01458, 'fear': 0.159942, 'disgust': 0.064836, 'anger': 0.194992}}}}",Energy
72,8/2/19,FSLR,"{'usage': {'text_units': 2, 'text_characters': 13225, 'features': 2}, 'sentiment': {'document': {'score': -0.999426, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.824266, 'joy': 0.030934, 'fear': 0.115967, 'disgust': 0.06716, 'anger': 0.150292}}}}",Energy
73,5/3/19,FSLR,"{'usage': {'text_units': 2, 'text_characters': 13099, 'features': 2}, 'sentiment': {'document': {'score': -0.973888, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.801477, 'joy': 0.039838, 'fear': 0.102731, 'disgust': 0.064066, 'anger': 0.148096}}}}",Energy
74,10/26/18,FSLR,"{'usage': {'text_units': 2, 'text_characters': 14757, 'features': 2}, 'sentiment': {'document': {'score': -0.927168, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.723988, 'joy': 0.041854, 'fear': 0.118931, 'disgust': 0.087073, 'anger': 0.209781}}}}",Energy
75,7/27/18,FSLR,"{'usage': {'text_units': 2, 'text_characters': 15258, 'features': 2}, 'sentiment': {'document': {'score': -0.994045, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.771813, 'joy': 0.047384, 'fear': 0.111293, 'disgust': 0.072187, 'anger': 0.166865}}}}",Energy
76,4/27/18,FSLR,"{'usage': {'text_units': 2, 'text_characters': 15887, 'features': 2}, 'sentiment': {'document': {'score': 0, 'label': 'neutral'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.751874, 'joy': 0.045571, 'fear': 0.107784, 'disgust': 0.072832, 'anger': 0.202406}}}}",Energy
